"time","hosp_occup_mean","hosp_occup_median","hosp_occup_q25","hosp_occup_q75","hosp_admit_mean","hosp_admit_median","hosp_admit_q25","hosp_admit_q75","icu_occup_mean","icu_occup_median","icu_occup_q25","icu_occup_q75","icu_admit_mean","icu_admit_median","icu_admit_q25","icu_admit_q75","new_infect_mean","new_infect_median","new_infect_q25","new_infect_q75","new_deaths_mean","new_deaths_median","new_deaths_q25","new_deaths_q75"
"2020-01-31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-02-01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.124,3,1,5,0,0,0,0
"2020-02-02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.31,3,1,5,0,0,0,0
"2020-02-03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.83,4,2,6,0,0,0,0
"2020-02-04",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.484,4,2,6,0,0,0,0
"2020-02-05",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.714,5,3,8,0,0,0,0
"2020-02-06",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.402,6,3,9,0,0,0,0
"2020-02-07",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.894,7,5,10,0,0,0,0
"2020-02-08",0.124,0,0,0,0.124,0,0,0,0,0,0,0,0,0,0,0,9.144,9,6,12,0,0,0,0
"2020-02-09",0.264,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,10.668,10,7,14,0,0,0,0
"2020-02-10",0.412,0,0,1,0.148,0,0,0,0,0,0,0,0,0,0,0,12.796,13,9,16,0,0,0,0
"2020-02-11",0.598,0,0,1,0.186,0,0,0,0.032,0,0,0,0.032,0,0,0,14.934,14,10,19,0,0,0,0
"2020-02-12",0.844,1,0,1,0.246,0,0,0,0.078,0,0,0,0.046,0,0,0,17.598,17,12,22,0,0,0,0
"2020-02-13",1.098,1,0,2,0.254,0,0,0,0.122,0,0,0,0.044,0,0,0,20.612,19,14,26,0,0,0,0
"2020-02-14",1.444,1,0,2,0.346,0,0,1,0.182,0,0,0,0.06,0,0,0,24.03,23,16,30,0,0,0,0
"2020-02-15",1.712,1,1,3,0.392,0,0,1,0.254,0,0,0,0.072,0,0,0,28.498,27,20,36,0,0,0,0
"2020-02-16",2.028,2,1,3,0.456,0,0,1,0.324,0,0,1,0.07,0,0,0,33.4,31,23.75,41,0,0,0,0
"2020-02-17",2.408,2,1,3,0.528,0,0,1,0.438,0,0,1,0.114,0,0,0,38.574,36,27,47,0,0,0,0
"2020-02-18",2.906,3,1,4,0.684,0,0,1,0.56,0,0,1,0.122,0,0,0,45.27,43,31,55,0,0,0,0
"2020-02-19",3.432,3,2,5,0.772,1,0,1,0.666,0,0,1,0.138,0,0,0,53.594,50,38,65,0,0,0,0
"2020-02-20",4.046,4,2,6,0.868,1,0,1,0.808,1,0,1,0.188,0,0,0,63.064,58,44,75,0,0,0,0
"2020-02-21",4.75,4,3,6,1.05,1,0,2,0.992,1,0,2,0.228,0,0,0,74.838,68,53,90.25,0.012,0,0,0
"2020-02-22",5.646,5,3,7,1.288,1,0,2,1.186,1,0,2,0.254,0,0,0,88.702,81,62,107,0.02,0,0,0
"2020-02-23",6.782,6,4,9,1.592,1,0,2,1.394,1,0,2,0.28,0,0,0,106.508,98.5,73,126,0.016,0,0,0
"2020-02-24",7.998,7,5,10,1.744,1.5,1,3,1.642,1,0,2,0.318,0,0,1,127.16,115,89,149,0.018,0,0,0
"2020-02-25",9.35,9,6,12,2.036,2,1,3,1.918,2,1,3,0.39,0,0,1,154.37,141.5,108,183.25,0.026,0,0,0
"2020-02-26",10.822,10,7,14,2.244,2,1,3,2.32,2,1,3,0.524,0,0,1,185.412,170,133,218,0.024,0,0,0
"2020-02-27",12.868,12,8,16,2.914,3,1,4,2.764,2,1,4,0.582,0,0,1,223.39,205,160.75,265.25,0.036,0,0,0
"2020-02-28",15.226,14,10,19,3.408,3,2,4.25,3.208,3,2,5,0.632,0,0,1,269.966,245.5,197.75,320,0.034,0,0,0
"2020-02-29",18.052,17,12,23,4.114,4,2,6,3.688,3,2,5,0.708,1,0,1,326.246,298,242,384.75,0.048,0,0,0
"2020-03-01",21.336,20,14,27,4.876,4,3,7,4.448,4,2,6,1.014,1,0,2,394.514,357.5,294,462,0.052,0,0,0
"2020-03-02",25.434,23,17.75,31,5.842,5,3,8,5.298,5,3,7,1.13,1,0,2,477.502,434,353.75,557,0.066,0,0,0
"2020-03-03",30.454,28,21,37,7.056,6,4,9,6.262,6,4,8,1.282,1,0,2,573.318,523.5,421.75,666.25,0.088,0,0,0
"2020-03-04",36.692,33,25,44,8.482,8,5,11,7.432,7,5,10,1.56,1,0,2,687.542,631,508.5,797.25,0.096,0,0,0
"2020-03-05",43.924,40,31,52,10.146,10,6,13,8.778,8,5,11,1.87,2,1,3,823.67,742,621,952.25,0.088,0,0,0
"2020-03-06",53.104,49,37,64,12.588,12,8,15,10.474,9,7,13,2.278,2,1,3,981.822,888.5,730,1141,0.13,0,0,0
"2020-03-07",64.062,59,46,77,15.072,14,10,19,12.578,11,8,16,2.736,2,1,4,1176.59,1054,862.5,1359.75,0.134,0,0,0
"2020-03-08",77.292,70,56,93,18.106,17,12.75,22,15.12,14,10,19,3.25,3,2,4.25,1400.988,1240.5,1029,1613.5,0.172,0,0,0
"2020-03-09",93.508,86,67,111.25,22.058,20.5,15,27,18.092,17,12,22,3.986,4,2,5,1670.334,1485,1220.5,1911.75,0.218,0,0,0
"2020-03-10",113.482,104,83,135.25,27.03,25,19,33,21.99,20,16,27,5.028,4,3,6,1984.692,1763,1445.5,2264.75,0.218,0,0,0
"2020-03-11",137.766,125,100,163,32.766,29,24,38,26.646,24,19,33,5.938,5,4,8,2358.394,2077.5,1695.5,2703.25,0.252,0,0,0
"2020-03-12",164.952,150,121.75,194,37.332,34,27,44,32.338,30,24,39.25,7.252,7,5,9,2806.154,2455.5,2017.25,3184.25,0.344,0,0,1
"2020-03-13",198.864,181,146,233.25,46.5,43,33,55,39.348,36,29,47,8.88,8,6,11,3341.594,2908.5,2362,3809,0.394,0,0,1
"2020-03-14",238.492,216.5,177,277.5,54.7,50,40,64,47.872,43,35,57,10.802,10,7,14,3796.832,3313.5,2640.5,4357.75,0.42,0,0,1
"2020-03-15",286.042,261,212.75,331.25,65.656,60,47,75,57.256,53,42,67,12.12,11,8,15,4244.064,3665,2929.75,4866.25,0.56,0,0,1
"2020-03-16",342.564,309.5,254.75,390.25,78.58,71,57,89,68.978,64,50,79,14.972,14,10,18,4807.65,4132,3270.25,5516,0.708,0,0,1
"2020-03-17",407.136,365,302,463.25,91.602,81.5,67,107,82.478,76,61.75,95,17.486,16,12,21,5464.338,4652,3701,6245.75,0.838,1,0,1
"2020-03-18",484.138,434,358.75,546.75,109.768,97,79,124.25,98.934,91,73,114,21.484,19,15,26,6199.306,5234,4117.25,7019.25,0.946,1,0,1
"2020-03-19",577.264,514.5,422,657.25,130.458,116,93,151.25,118.488,108.5,87,136,25.492,23,18,29,7056.394,5948.5,4617.5,7931.75,1.224,1,0,2
"2020-03-20",686.118,612,495.75,783.5,155.354,135,111,181,140.7,127.5,103,163,29.464,27,21,35,8031.21,6720.5,5162.5,9054.25,1.428,1,0,2
"2020-03-21",807.49,713.5,579.25,914,176.072,154,121.75,199.25,167.548,150,124,192,35.728,32,25,43,8196.1,6843,5260.25,9211.25,1.764,1.5,1,2
"2020-03-22",938.772,825,670.5,1070.5,196.938,171.5,136,223,198.696,177.5,147,229,41.95,37,30,50,7945.54,6701,5132.25,9062.75,2.102,2,1,3
"2020-03-23",1082.518,951.5,759.75,1219.75,222.326,192,150.75,256,237.21,212.5,175,272.75,50.634,46,36,58.25,7822.416,6570.5,5060.25,8950.25,2.524,2,1,4
"2020-03-24",1244.136,1089,868.5,1405.25,253.22,219,171.75,289,279.672,250,203,320.25,57.434,50,38.75,68,7757.41,6541.5,5053.25,8924,3.032,3,2,4
"2020-03-25",1420.472,1229.5,982.75,1632.25,286.104,242.5,193,327.5,325.86,290,234.75,373,63.674,57,44,73,7736.108,6566.5,4994.75,8940.75,3.742,4,2,5
"2020-03-26",1616.524,1388.5,1104.5,1851.5,326.51,279,211,365.5,376.488,332,267,433.25,72.112,62,49,82,7742.196,6613.5,4977.5,9009.5,4.39,4,3,6
"2020-03-27",1832.436,1555,1234.5,2096.5,371.266,308.5,242.75,418,433.18,383,305.75,492.75,82.184,71,55,96,7769.664,6620.5,5040.25,9115.75,5.234,5,3,7
"2020-03-28",2034.596,1722.5,1359,2309,378.232,320.5,245,430,496.294,435.5,345,563,92.578,80,61,107,7793.962,6637,5068.25,9176.5,6.108,5,4,8
"2020-03-29",2203.174,1852,1462,2504.5,365.516,305.5,235.75,424.25,566.052,491.5,390,647.5,105.486,90,69,117.25,7843.224,6604,5041.5,9198.75,7.402,7,5,9.25
"2020-03-30",2341.798,1967,1533.5,2653.25,360.95,307,233.75,407.25,645.018,554,436.75,729.5,120.916,102.5,77,139,7885.748,6664.5,5089.5,9307,8.822,8,6,11
"2020-03-31",2447.242,2054,1593.25,2785,358.664,301,234.75,411.25,716.746,613,483,817.5,122.362,104.5,81,140,7961.442,6784,5104.5,9427.5,10.546,9,7,13
"2020-04-01",2515.948,2121.5,1638.75,2868,354.81,299,232,404,778.21,657.5,517.75,888.25,118.898,100.5,76,137.25,8034.32,6820,5171.75,9350.75,12.318,11,8,15
"2020-04-02",2546.212,2143,1661.5,2903,356.774,306.5,232.75,417.75,832.302,705,548,946.75,117.766,100,76,136,8111.356,6908.5,5181.75,9412,14.808,13,10,18
"2020-04-03",2532.44,2137.5,1659,2902.25,357.494,305.5,229,415.25,875.608,738.5,572.75,991.25,115.418,98,76.75,133,8209.928,6992,5263,9361.75,16.9,15,11,20
"2020-04-04",2513.716,2135,1643.5,2895,359.508,308,234,422.5,909.052,765,593,1027.75,115.628,96.5,75,135,8324.756,7020,5376.75,9624.25,19.224,17,12,23
"2020-04-05",2510.576,2150,1644,2918,362.376,307.5,237.75,427,931.942,777.5,613.75,1062.75,115.468,97,76.75,136,8444.928,7129,5427.25,9755.75,21.512,19,14,26
"2020-04-06",2512.312,2146.5,1643,2917.5,362.686,309.5,237.75,423.25,942.356,793,614,1079.75,115.9,99,74.75,136,8575.744,7236.5,5453.25,9909.5,24.132,21,16,28
"2020-04-07",2519.466,2158,1643.5,2934.75,365.818,310.5,235.75,425.5,938.284,789,613.5,1084,116.844,100.5,75,137.25,8721.584,7314.5,5476.75,10090.75,27.634,24,18,33
"2020-04-08",2533.99,2160.5,1657,2963.25,369.334,310,242,430.5,933.708,787,610.75,1079.5,117.786,101.5,77.75,136.25,8870.328,7402,5561,10474.75,31.234,27,20,36
"2020-04-09",2551.322,2186,1661.75,2999.5,374.106,316,240.75,435,931.604,792,610.75,1080,116.794,100,76,134,9034.526,7477,5665.25,10648.5,35.704,30.5,23,40
