"time","hosp_occup_mean","hosp_occup_median","hosp_occup_q25","hosp_occup_q75","hosp_admit_mean","hosp_admit_median","hosp_admit_q25","hosp_admit_q75","icu_occup_mean","icu_occup_median","icu_occup_q25","icu_occup_q75","icu_admit_mean","icu_admit_median","icu_admit_q25","icu_admit_q75","new_infect_mean","new_infect_median","new_infect_q25","new_infect_q75","new_deaths_mean","new_deaths_median","new_deaths_q25","new_deaths_q75"
"2020-01-31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-02-01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,3,1,5,0,0,0,0
"2020-02-02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.698,4,2,5,0,0,0,0
"2020-02-03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.988,4,2,6,0,0,0,0
"2020-02-04",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.778,4,3,7,0,0,0,0
"2020-02-05",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.638,5,3,8,0,0,0,0
"2020-02-06",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.776,6,4,9,0,0,0,0
"2020-02-07",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.218,8,5,10.25,0,0,0,0
"2020-02-08",0.128,0,0,0,0.128,0,0,0,0,0,0,0,0,0,0,0,9.444,9,6,12,0,0,0,0
"2020-02-09",0.32,0,0,1,0.192,0,0,0,0,0,0,0,0,0,0,0,11.142,11,7,14,0,0,0,0
"2020-02-10",0.532,0,0,1,0.212,0,0,0,0,0,0,0,0,0,0,0,13.118,12,8,17,0,0,0,0
"2020-02-11",0.804,1,0,1,0.272,0,0,0,0.042,0,0,0,0.042,0,0,0,15.524,15,10,19,0,0,0,0
"2020-02-12",1.068,1,0,2,0.264,0,0,0,0.11,0,0,0,0.068,0,0,0,17.842,17,12,22,0,0,0,0
"2020-02-13",1.352,1,0,2,0.284,0,0,0,0.162,0,0,0,0.052,0,0,0,21.216,20,15,26,0,0,0,0
"2020-02-14",1.676,1,1,3,0.324,0,0,1,0.238,0,0,0,0.076,0,0,0,24.932,23,17,31,0,0,0,0
"2020-02-15",1.972,2,1,3,0.424,0,0,1,0.314,0,0,1,0.076,0,0,0,29.334,27,20,36,0,0,0,0
"2020-02-16",2.32,2,1,3,0.54,0,0,1,0.406,0,0,1,0.092,0,0,0,34.048,31,24,42,0,0,0,0
"2020-02-17",2.674,2,1,4,0.566,0,0,1,0.512,0,0,1,0.106,0,0,0,40.176,37,28,49,0,0,0,0
"2020-02-18",3.082,3,1,4,0.68,0,0,1,0.656,0,0,1,0.144,0,0,0,47.358,44,32.75,58,0,0,0,0
"2020-02-19",3.65,3,2,5,0.832,1,0,1,0.806,1,0,1,0.192,0,0,0,56.086,52,39,66,0,0,0,0
"2020-02-20",4.374,4,2,6,1.008,1,0,1,0.912,1,0,1,0.174,0,0,0,65.97,60,46,78,0,0,0,0
"2020-02-21",5.136,5,3,7,1.086,1,0,2,1.09,1,0,2,0.23,0,0,0,78.088,70,54,91,0.014,0,0,0
"2020-02-22",5.986,5,3.75,8,1.274,1,0,2,1.3,1,0,2,0.286,0,0,0,93.51,85,64,108,0.028,0,0,0
"2020-02-23",6.932,6,4,9,1.486,1,0,2,1.51,1,0,2,0.286,0,0,0,111.172,101.5,78,127,0.012,0,0,0
"2020-02-24",8.246,8,5,11,1.88,2,1,3,1.742,1,1,2,0.324,0,0,1,133.496,122,95,153,0.016,0,0,0
"2020-02-25",9.8,9,6,12,2.234,2,1,3,2.07,2,1,3,0.434,0,0,1,160.89,145,114,186.25,0.024,0,0,0
"2020-02-26",11.46,11,8,14,2.492,2,1,4,2.384,2,1,3,0.458,0,0,1,194.512,174,141,224.25,0.036,0,0,0
"2020-02-27",13.364,12,9,16.25,2.912,3,1,4,2.796,2,1,4,0.604,0,0,1,234.418,215,169,262,0.034,0,0,0
"2020-02-28",15.966,14,11,20,3.688,3,2,5,3.306,3,2,5,0.684,0,0,1,284.844,261,206,326.25,0.034,0,0,0
"2020-02-29",18.97,17.5,13,23,4.278,4,2,6,3.812,3,2,5,0.736,1,0,1,342.184,316,245,383,0.048,0,0,0
"2020-03-01",22.732,21,16,27,5.248,5,3,7,4.456,4,3,6,0.93,1,0,1,416.466,375.5,305,468.5,0.04,0,0,0
"2020-03-02",26.972,25,19,33,6.12,6,4,8,5.35,5,3,7,1.18,1,0,2,500.762,453,362.75,558.25,0.078,0,0,0
"2020-03-03",32.014,29.5,22,38,7.276,6,5,9,6.374,6,4,8,1.348,1,0,2,603.1,543,434,674.25,0.088,0,0,0
"2020-03-04",38.574,36,27,45,9.052,8,6,11,7.628,7,5,10,1.688,1,1,2,719.818,641.5,522.75,812,0.09,0,0,0
"2020-03-05",46.596,43,33,53.25,10.934,10,7,13,9.154,8,5,11,1.984,2,1,3,863.976,766,627.75,958.5,0.1,0,0,0
"2020-03-06",56.088,51,39,64.25,13.18,12,9,16,10.878,10,7,14,2.328,2,1,3,1033.072,915.5,751,1162.5,0.13,0,0,0
"2020-03-07",67.564,62,48,76,15.754,14,10,18,13.238,12,9,16,3.044,3,1,4,1229.096,1084,880.75,1371.25,0.146,0,0,0
"2020-03-08",81.736,75,58,93,19.42,18,13,23,16.062,15,11,19,3.56,3,2,5,1464.574,1289,1047.75,1650.25,0.204,0,0,0
"2020-03-09",98.672,90,71,111,23.056,21,16,26.25,19.49,18,13,23,4.358,4,2,6,1746.364,1552.5,1261.75,1958.75,0.21,0,0,0
"2020-03-10",119.336,109,87,133,27.94,25,20,32,23.24,21,16,27.25,4.93,5,3,6,2074.592,1860,1464,2322.75,0.226,0,0,0
"2020-03-11",143.79,130,105,160,33.506,30,23,38,28.27,26,19.75,32,6.378,6,4,8,2457.026,2166,1709.75,2743.75,0.302,0,0,1
"2020-03-12",172.96,157.5,126,193,40.104,36,28,46,34.088,31,24,38,7.506,7,5,9,2924.23,2570,2030,3249.25,0.37,0,0,1
"2020-03-13",207.962,187,150,230,48.182,44,34,55,41.184,38,30,46,9.08,8,6,11,3468.616,3046.5,2383.25,3880.25,0.43,0,0,1
"2020-03-14",250.054,226,182,277.25,57.846,50.5,41,67,49.698,45,36,55,10.842,10,7,13,3937.178,3405.5,2701.25,4352.5,0.456,0,0,1
"2020-03-15",299.234,268,216,334.5,68.6,62,49,79,59.762,54,43,67,13.108,12,9,15,4396.506,3850,2954.5,4904.25,0.598,0,0,1
"2020-03-16",357.534,319.5,258.75,402.25,81.356,72,57,93,71.67,64,51,80,15.468,14,10,18,4968.886,4326.5,3272.5,5527,0.762,1,0,1
"2020-03-17",425.88,384,309,477,96.286,85,68,107.25,86.42,77,61,96,19.108,17,13,23,5621.996,4833,3673.5,6271.5,0.83,1,0,1
"2020-03-18",506.3,448.5,362,568.5,113.926,101,79,128,103.756,93,75,115,22.266,20,15,25,6370.494,5419,4074,7122.75,1.04,1,0,2
"2020-03-19",602.052,536,428,669.75,135.856,119.5,93.75,153.25,123.494,110,89,138.25,26.116,23,19,30,7241.404,6139,4567.75,8137.5,1.286,1,0,2
"2020-03-20",715.762,633,505,794,161.892,143,108.75,181,146.916,131.5,106.75,163.25,30.928,28,21,35,8223.824,6920,5068.75,9306.25,1.534,1,1,2
"2020-03-21",840.77,748,588.75,929,182.854,161,124,203,174.794,156,128.75,194,36.958,33,25,42,8384.892,7073.5,5198.5,9470,1.676,1,1,3
"2020-03-22",976.892,866,677.75,1083,204.722,177.5,137.75,231.25,208.344,186,151,233,44.392,39,30,51,8129.282,6831,5056.25,9125,2.156,2,1,3
"2020-03-23",1126.958,993,779,1261,231.422,197,156,257.5,247.764,221.5,178,276,52.528,46,35,60,8000.85,6728,4991.25,9033,2.618,2,1,4
"2020-03-24",1290.954,1133.5,887,1432,260.282,222,171.75,290.25,291.414,260.5,206,324.25,59.118,51,40,66.25,7943.176,6765,5019.75,8976,3.186,3,2,4
"2020-03-25",1472.578,1279.5,987.75,1628.5,295.55,250.5,191,338.25,338.828,303,237,379.25,66.522,57,45,76,7941.028,6763.5,5002.5,8994,3.858,3,2,5
"2020-03-26",1672.76,1437,1115,1843,336.038,282,217.75,376.5,391.676,348.5,274,438.25,75.114,64,51,84.25,7940.258,6772,5049.75,8955.25,4.58,4,3,6
"2020-03-27",1892.568,1617.5,1242.5,2102.75,381.7,325,243,430,450.262,396,308.75,497.75,84.702,73,57,96,7975.026,6776.5,5119,8939.75,5.384,5,3,7
"2020-03-28",2098.058,1774.5,1367.5,2358.25,388.344,326.5,243.75,435.5,515.8,451,349,566.25,96.466,82,63,109.25,8016.64,6815,5119.75,9049.25,6.46,6,4,8
"2020-03-29",2271.094,1921,1461.75,2548.75,377.758,319.5,239,423.75,587.396,512.5,390,655.25,108.554,92,69,124,8084.588,6800.5,5169.5,9114.25,7.794,7,5,10
"2020-03-30",2410.32,2041.5,1539.75,2723.5,370.648,311,232,415.25,666.57,570,442.75,742.5,123.566,104,78.75,139,8137.766,6858,5230.5,9229.75,9.306,8,6,11
"2020-03-31",2517.102,2121,1601.5,2845.5,367.064,311,234.75,417.25,740.272,629,487.5,838.25,126.23,105,80,142,8225.85,6860.5,5210.75,9226.25,10.89,10,7,13
"2020-04-01",2588.704,2179.5,1652.25,2889.5,367.152,312.5,237,414.25,803.818,684.5,523.5,903.25,122.664,104,78,137,8310.646,6871.5,5368.75,9419,12.798,12,8,15
"2020-04-02",2619.734,2219,1655,2959.5,367.068,312,234.75,415.5,857.41,728.5,560,965.5,120.114,104,76,136.25,8419.312,7005.5,5399.5,9574,15.514,14,10,18
"2020-04-03",2605.594,2198.5,1644.75,2961.25,367.56,309.5,232.75,415.25,901.234,770,578,1017,118.938,102,77,136,8530.572,7090,5437.75,9624.5,17.452,16,11,20
"2020-04-04",2588.02,2181,1641.75,2910.25,370.77,316.5,241,420.5,934.918,804.5,598,1042,118.386,103,75,134,8655.78,7200.5,5458.75,9820.25,19.454,17,13,23
"2020-04-05",2582.374,2203,1657.75,2887.75,372.112,317.5,237.75,417.25,957.306,820,615,1075.5,118.854,100,77,136,8798.968,7228,5534.25,10020.5,22.174,19,14,26
"2020-04-06",2585.874,2227.5,1679,2906,374.148,315,242,428,968.178,825,626,1077.25,119.426,101,77,134,8951.556,7346,5591.5,10144,25.014,22,16,29
"2020-04-07",2598.692,2238.5,1688.75,2919.5,379.882,324,241.75,426.25,964.728,820,628.5,1086.5,120.116,102,77,136,9112.57,7464.5,5674.5,10366,27.75,23,17,32
