"time","hosp_occup_mean","hosp_occup_median","hosp_occup_q25","hosp_occup_q75","hosp_admit_mean","hosp_admit_median","hosp_admit_q25","hosp_admit_q75","icu_occup_mean","icu_occup_median","icu_occup_q25","icu_occup_q75","icu_admit_mean","icu_admit_median","icu_admit_q25","icu_admit_q75","new_infect_mean","new_infect_median","new_infect_q25","new_infect_q75","new_deaths_mean","new_deaths_median","new_deaths_q25","new_deaths_q75"
"2020-01-31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-02-01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,5,0,0,0,0
"2020-02-02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.37,3,1,5,0,0,0,0
"2020-02-03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.97,4,2,6,0,0,0,0
"2020-02-04",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.61,4,3,6,0,0,0,0
"2020-02-05",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.74,5,3,7.25,0,0,0,0
"2020-02-06",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.03,7,4,9,0,0,0,0
"2020-02-07",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.29,8,5,11,0,0,0,0
"2020-02-08",0.12,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,9.38666666666667,9,6,12,0,0,0,0
"2020-02-09",0.276666666666667,0,0,0,0.156666666666667,0,0,0,0,0,0,0,0,0,0,0,11.3733333333333,11,8,15,0,0,0,0
"2020-02-10",0.436666666666667,0,0,1,0.16,0,0,0,0,0,0,0,0,0,0,0,13.65,12,10,17,0,0,0,0
"2020-02-11",0.623333333333333,0,0,1,0.186666666666667,0,0,0,0.0366666666666667,0,0,0,0.0366666666666667,0,0,0,15.8,15,11,20,0,0,0,0
"2020-02-12",0.93,1,0,1,0.306666666666667,0,0,1,0.0933333333333333,0,0,0,0.0566666666666667,0,0,0,18.5566666666667,17,13,23,0,0,0,0
"2020-02-13",1.28666666666667,1,0,2,0.356666666666667,0,0,1,0.14,0,0,0,0.0466666666666667,0,0,0,21.27,20,15,26,0,0,0,0
"2020-02-14",1.65333333333333,1,1,2,0.366666666666667,0,0,1,0.186666666666667,0,0,0,0.0466666666666667,0,0,0,25.4333333333333,24,18,31,0,0,0,0
"2020-02-15",1.92666666666667,2,1,3,0.393333333333333,0,0,1,0.293333333333333,0,0,1,0.106666666666667,0,0,0,29.9133333333333,27.5,22,36,0,0,0,0
"2020-02-16",2.29,2,1,3,0.52,0,0,1,0.41,0,0,1,0.116666666666667,0,0,0,34.9633333333333,32.5,24,42,0,0,0,0
