"time","hosp_occup_mean","hosp_occup_median","hosp_occup_q25","hosp_occup_q75","hosp_admit_mean","hosp_admit_median","hosp_admit_q25","hosp_admit_q75","icu_occup_mean","icu_occup_median","icu_occup_q25","icu_occup_q75","icu_admit_mean","icu_admit_median","icu_admit_q25","icu_admit_q75","new_infect_mean","new_infect_median","new_infect_q25","new_infect_q75","new_deaths_mean","new_deaths_median","new_deaths_q25","new_deaths_q75"
"2020-01-31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-02-01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.968,2.5,1,4.25,0,0,0,0
"2020-02-02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.35,3,1,5,0,0,0,0
"2020-02-03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.884,4,2,6,0,0,0,0
"2020-02-04",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.836,5,3,7,0,0,0,0
"2020-02-05",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.592,5,3,8,0,0,0,0
"2020-02-06",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.734,6,4,9,0,0,0,0
"2020-02-07",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.738,7,5,10,0,0,0,0
"2020-02-08",0.114,0,0,0,0.114,0,0,0,0,0,0,0,0,0,0,0,9.196,9,6,12,0,0,0,0
"2020-02-09",0.252,0,0,0,0.138,0,0,0,0,0,0,0,0,0,0,0,10.834,10,7,14,0,0,0,0
"2020-02-10",0.396,0,0,1,0.144,0,0,0,0,0,0,0,0,0,0,0,12.612,12,8,16,0,0,0,0
"2020-02-11",0.618,0,0,1,0.222,0,0,0,0.038,0,0,0,0.038,0,0,0,15.24,15,10,19,0,0,0,0
"2020-02-12",0.866,1,0,1,0.248,0,0,0,0.088,0,0,0,0.05,0,0,0,17.482,17,12,22,0,0,0,0
"2020-02-13",1.158,1,0,2,0.292,0,0,1,0.134,0,0,0,0.046,0,0,0,20.632,20,14,26,0,0,0,0
"2020-02-14",1.546,1,0,2,0.388,0,0,1,0.212,0,0,0,0.078,0,0,0,24.2,23,17,29,0,0,0,0
"2020-02-15",1.874,2,1,3,0.442,0,0,1,0.302,0,0,1,0.09,0,0,0,28.46,27,19.75,35,0,0,0,0
"2020-02-16",2.228,2,1,3,0.492,0,0,1,0.406,0,0,1,0.104,0,0,0,32.828,31,24,41,0,0,0,0
"2020-02-17",2.652,2,1,4,0.568,0,0,1,0.54,0,0,1,0.134,0,0,0,39.364,36,28,48,0,0,0,0
"2020-02-18",3.164,3,1,5,0.734,0,0,1,0.668,0,0,1,0.128,0,0,0,45.238,42,32,54,0,0,0,0
"2020-02-19",3.69,3,2,5,0.774,1,0,1,0.78,1,0,1,0.15,0,0,0,53.894,50,39,65,0,0,0,0
"2020-02-20",4.424,4,2,6,1.026,1,0,2,0.9,1,0,1,0.17,0,0,0,62.972,58,44,75,0,0,0,0
"2020-02-21",5.228,5,3,7,1.192,1,0,2,1.106,1,0,2,0.252,0,0,0,74.394,69,53,88.25,0.024,0,0,0
"2020-02-22",6.026,6,4,8,1.24,1,0,2,1.272,1,0,2,0.244,0,0,0,88.264,82,62,106,0.03,0,0,0
"2020-02-23",7.022,6,4,9,1.488,1,0,2,1.528,1,0,2,0.346,0,0,1,105.916,98.5,75,125,0.006,0,0,0
"2020-02-24",8.192,8,5,11,1.738,2,1,3,1.81,2,1,3,0.386,0,0,1,127.09,118,91.75,151,0.026,0,0,0
"2020-02-25",9.552,9,6,12,2.094,2,1,3,2.074,2,1,3,0.398,0,0,1,152.024,142,110,179.25,0.012,0,0,0
"2020-02-26",11.266,10,7,14,2.488,2,1,3,2.478,2,1,4,0.532,0,0,1,183.284,171.5,130.75,219,0.024,0,0,0
"2020-02-27",13.11,12,8,17,2.87,3,1,4,2.924,3,1,4,0.596,0,0,1,220.594,206.5,159,263,0.03,0,0,0
"2020-02-28",15.31,14,10,19,3.392,3,2,5,3.392,3,2,5,0.638,0,0,1,268.222,248,195,312.25,0.036,0,0,0
"2020-02-29",18.066,17,12,22,3.996,4,2,5,3.924,4,2,5,0.784,1,0,1,324.38,298,236,380.5,0.034,0,0,0
"2020-03-01",21.358,19,14,26,4.78,4,3,6,4.546,4,3,6,0.866,1,0,1,390.34,364.5,279.75,448.25,0.062,0,0,0
"2020-03-02",25.454,23,18,31,5.834,5,3,8,5.236,5,3,7,1.036,1,0,2,472.462,436,346.75,548.25,0.078,0,0,0
"2020-03-03",30.384,28,21,37,7.024,6,5,9,6.09,6,4,8,1.24,1,0,2,567.776,526.5,414.75,657,0.1,0,0,0
"2020-03-04",36.036,33,26,43.25,8.14,7,5,11,7.296,7,4,9,1.604,1,1,2,682.51,634,499.75,792.25,0.076,0,0,0
"2020-03-05",43.37,41,31,52,10.204,10,7,13,8.598,8,5.75,11,1.834,1,1,3,816.192,757.5,598.75,939,0.112,0,0,0
"2020-03-06",52.072,48,38,63,12.094,11,8,15,10.168,10,6.75,13,2.166,2,1,3,979.084,906.5,726.75,1120.5,0.108,0,0,0
"2020-03-07",62.844,59,47,75.25,14.768,14,10,18,12.198,11,8,15,2.668,2,1,4,1169.39,1065.5,858.75,1344.5,0.124,0,0,0
"2020-03-08",76.02,70.5,54.75,90.25,17.956,16,13,22,14.76,14,10,18,3.346,3,2,5,1389.356,1264,1024.5,1589,0.17,0,0,0
"2020-03-09",92.254,87,67.75,109,22.068,21,15,26,17.782,17,12,22,3.888,4,2,5,1655.892,1495,1207.75,1886.5,0.182,0,0,0
"2020-03-10",111.728,105,81,130,26.498,25,19,32,21.516,20,15,26,4.77,4,3,6,1968.556,1761.5,1437.75,2246.5,0.212,0,0,0
"2020-03-11",135.784,127,99,157,32.196,30,23,38,26.128,24,18,32,5.852,5,3,8,2339.738,2090,1692,2667.5,0.278,0,0,0
"2020-03-12",163.92,154,119,187,38.34,35,28,45,31.738,29,22,38,7.214,7,4,9,2780.684,2445,1966.25,3233.5,0.342,0,0,1
"2020-03-13",196.882,183,144,226,45.056,41,33,52,38.412,36,28,45,8.508,8,6,11,3309.218,2893,2283,3871.25,0.37,0,0,1
"2020-03-14",235.95,218,175.75,272,53.836,49,39,62,46.714,44,34,55,10.468,10,7,13,3757.432,3268.5,2566.25,4430.5,0.438,0,0,1
"2020-03-15",282.01,258.5,208.75,322.25,64.016,58,46.75,74.25,56.306,53,41.75,66,12.26,11,9,15,4209.414,3644,2819,5005.25,0.54,0,0,1
"2020-03-16",336.778,307.5,248.5,388.25,76.836,69,55,91,67.718,64,50,78,14.758,14,10,17,4759.214,4059.5,3115.5,5588,0.724,0,0,1
"2020-03-17",401.144,362,295.75,457.75,90.864,82,65.75,106,81.334,76,60,94,17.504,16,12,21,5398.19,4613.5,3475.75,6352.5,0.83,1,0,1
"2020-03-18",477.04,430,351,545,108.092,98,77,125,97.342,91,72,113.25,20.778,19,15,25,6132.324,5167,3882,7265.5,0.904,1,0,1
"2020-03-19",568.38,509.5,414.5,645.25,129.68,116,93,151,116.562,108,85,134,25.072,22,17,30,6985.534,5796,4310.25,8340.75,1.176,1,0,2
"2020-03-20",679.074,607,492.5,784.5,155.75,135,107.75,182,138.944,127,103,161,29.596,27,20.75,36,7955.422,6573,4868.25,9456.75,1.406,1,0,2
"2020-03-21",799.32,710,572.75,929,174.082,153,118.75,204,165.14,153,120.75,189.25,34.704,31,24,41,8121.072,6694,4982.5,9628.5,1.692,1,1,2
"2020-03-22",929.958,820,657.75,1078.25,194.654,168.5,134,230.25,196.424,177,143,227,41.752,37,29.75,49,7887.316,6492.5,4839,9321,2.06,2,1,3
"2020-03-23",1075.178,946,754.5,1256,222.056,191,148.75,261.25,234.816,209.5,170,273.25,50.652,44.5,35,60,7773.62,6357,4803,9162,2.542,2,1,3
"2020-03-24",1234.918,1081.5,853,1449.5,250.604,212,167,294,276.552,246.5,195,321,56.494,50.5,39,66,7729.76,6336,4771.75,9229.25,2.974,3,2,4
"2020-03-25",1411.956,1229,951.75,1652.25,285.13,241,184,330.5,322.42,285,229,373.25,63.372,55,43,75,7730.964,6339.5,4817.75,9215.25,3.858,3,2,5
"2020-03-26",1605.796,1366.5,1064.75,1890.75,323.52,270.5,205,381,373.668,328,260.75,430,72.026,62,48,84,7751.994,6352,4780,9302.5,4.254,4,2,6
"2020-03-27",1818.46,1528,1181.5,2108.5,368.414,307.5,226.75,435,430.084,374.5,298,493.75,81.488,70,55,95.25,7795.17,6349,4810.75,9228.25,5.296,5,3,7
"2020-03-28",2020.816,1689.5,1302.25,2385.25,376.438,312,234,449,493.164,425,338,573,92.676,79,58,108.25,7842.772,6314,4839.25,9260.5,6.252,6,4,8
"2020-03-29",2194.04,1835.5,1380.75,2606.25,367.878,304.5,227,438,563.41,482,378,654.25,104.95,88,68,123,7908.136,6357.5,4893,9265,7.266,7,4,9
"2020-03-30",2331.284,1952.5,1466.5,2780,359.3,297,224.75,418.25,641.668,543.5,420,746,120.01,100.5,73,141,7978.622,6373,4905.75,9404.25,8.852,8,5,11
"2020-03-31",2437.25,2028,1519.75,2875,356.57,290,221,423.5,712.698,597.5,466.25,831.5,121.682,101.5,76,145,8064.256,6436,4925.5,9505.5,10.314,9,7,13
"2020-04-01",2509.202,2067,1550.75,2959.5,357.082,294,222,428.25,775.398,648,501.25,921.25,119.194,99,72.75,144,8154.364,6491,4953.25,9586,12.63,12,8,16
"2020-04-02",2543.192,2098,1574.75,2995,357.51,292,223,430.25,828.824,687.5,524.75,981.25,116.798,96,74.75,131,8261.31,6597.5,5023,9680.5,14.88,13,10,18
"2020-04-03",2534.872,2076.5,1572.5,2991.25,360.094,296.5,225.75,425.5,872.47,723.5,547.25,1027.25,115.672,97,71,137.25,8378.442,6632,5105,9826,16.716,14,10,21
"2020-04-04",2519.132,2047.5,1576.25,2991.5,360.698,292,226,435,906.494,752.5,563,1067.5,115.512,94,71.75,138,8506.984,6723.5,5205.5,9919.75,18.708,16,12.75,22
"2020-04-05",2516.086,2060.5,1574.75,2978.75,364.832,299,229,429,929.648,769,575,1095.25,115.83,96,71,138,8649.158,6757,5289.75,10063.5,20.914,19,13,25
"2020-04-06",2523.516,2067.5,1579.25,2980,366.73,298.5,229.75,423.25,940.86,774.5,583.5,1098.5,116.162,95,73,137.25,8806.472,6882,5327.25,10379.75,24.152,21,15,28
"2020-04-07",2538.836,2064,1586,2994.25,371.89,301,231,437,937.79,767.5,581.75,1107.25,116.94,95,72,137,8971.268,7020,5436.5,10597.5,26.93,23,17,32
"2020-04-08",2555.106,2070,1590.5,2997.25,373.352,299,230,434.25,934.164,764.5,590.25,1110,118.056,98,73.75,139.5,9145.094,7092,5467.75,10715.75,30.862,26,19,37
"2020-04-09",2577.906,2077.5,1597,3017,380.31,304,233,450.25,934.144,770.5,588.75,1098.5,119.174,99,74,139,9332.76,7238,5608.75,10801.75,35.102,29,21,41
