"time","hosp_occup_mean","hosp_occup_median","hosp_occup_q25","hosp_occup_q75","hosp_admit_mean","hosp_admit_median","hosp_admit_q25","hosp_admit_q75","icu_occup_mean","icu_occup_median","icu_occup_q25","icu_occup_q75","icu_admit_mean","icu_admit_median","icu_admit_q25","icu_admit_q75","new_infect_mean","new_infect_median","new_infect_q25","new_infect_q75","new_deaths_mean","new_deaths_median","new_deaths_q25","new_deaths_q75"
"2020-02-01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64763458401305,1,1,2,0,0,0,0
"2020-02-02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.21502590673575,2,1,3,0,0,0,0
"2020-02-03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63679245283019,2,1,4,0,0,0,0
"2020-02-04",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.02447552447552,3,2,4,0,0,0,0
"2020-02-05",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.50276854928018,3,2,5,0,0,0,0
"2020-02-06",0.0949720670391061,0,0,0,0.0949720670391061,0,0,0,0,0,0,0,0,0,0,0,4.01899441340782,4,2,5,0,0,0,0
"2020-02-07",0.241003271537623,0,0,0,0.173391494002181,0,0,0,0,0,0,0,0,0,0,0,4.80152671755725,4,2,7,0,0,0,0
"2020-02-08",0.416844349680171,0,0,1,0.233475479744136,0,0,0,0,0,0,0,0,0,0,0,5.47441364605544,5,3,7,0,0,0,0
"2020-02-09",0.640756302521008,0,0,1,0.288865546218487,0,0,0,0,0,0,0,0,0,0,0,6.37079831932773,5,3,9,0,0,0,0
"2020-02-10",0.918238993710692,1,0,1,0.344863731656185,0,0,1,0,0,0,0,0,0,0,0,7.5041928721174,6,4,10,0,0,0,0
"2020-02-11",1.15987460815047,1,0,2,0.351097178683386,0,0,1,0,0,0,0,0,0,0,0,8.75130616509927,7,4,12,0,0,0,0
"2020-02-12",1.57068607068607,1,0,2,0.46985446985447,0,0,1,0,0,0,0,0,0,0,0,10.514553014553,9,5,14,0,0,0,0
"2020-02-13",2.07786885245902,2,1,3,0.554303278688525,0,0,1,0,0,0,0,0,0,0,0,12.2950819672131,10,6,17,0,0,0,0
"2020-02-14",2.59282051282051,2,1,4,0.603076923076923,0,0,1,0,0,0,0,0,0,0,0,14.3907692307692,12,6,19.5,0,0,0,0
"2020-02-15",3.23589743589744,3,1,5,0.708717948717949,0,0,1,0,0,0,0,0,0,0,0,17.5876923076923,14,8,24,0,0,0,0
"2020-02-16",4,3,1,6,0.857433808553971,1,0,1,0,0,0,0,0,0,0,0,20.6945010183299,16,9,28,0,0,0,0
"2020-02-17",4.90621814475025,4,2,7,1.03465851172273,1,0,1,0,0,0,0,0,0,0,0,24.5229357798165,19,10,33,0.00917431192660551,0,0,0
"2020-02-18",5.94613821138211,5,2,8,1.20528455284553,1,0,2,0,0,0,0,0,0,0,0,29.505081300813,22,11.75,40,0.0193089430894309,0,0,0
"2020-02-19",7.16056910569106,6,3,10,1.4979674796748,1,0,2,0,0,0,0,0,0,0,0,34.5315040650407,26,13,46,0.0233739837398374,0,0,0
"2020-02-20",8.63275686673449,7,3,12,1.73143438453713,1,0,3,0,0,0,0,0,0,0,0,41.9613428280773,30,16,57,0.0335707019328586,0,0,0
"2020-02-21",10.2497461928934,8,4,14,2.00507614213198,1,0,3,0,0,0,0,0,0,0,0,49.9756345177665,36,18,66,0.033502538071066,0,0,0
"2020-02-22",12.3062880324544,10,5,17,2.42393509127789,2,1,4,0,0,0,0,0,0,0,0,59.5314401622718,42.5,20,78,0.0294117647058824,0,0,0
"2020-02-23",14.7118301314459,12,6,20,2.8958543983822,2,1,4,0.0171890798786653,0,0,0,0.019211324570273,0,0,0,70.9908998988878,49,23,92,0.0465116279069767,0,0,0
"2020-02-24",17.500506585613,14,7,24,3.36372847011145,2,1,5,0.0476190476190476,0,0,0,0.0425531914893617,0,0,0,85.7436676798379,57,28,112,0.0466058763931104,0,0,0
"2020-02-25",21.1499493414387,16,8,29,4.23809523809524,3,1,6,0.0942249240121581,0,0,0,0.0526849037487335,0,0,0,102.849037487335,67,31,133.5,0.0648429584599797,0,0,0
"2020-02-26",25.447261663286,19,9,34,4.99188640973631,3,1,7,0.158215010141988,0,0,0,0.0780933062880325,0,0,0,124.248478701826,79,38,158,0.0679513184584179,0,0,0
"2020-02-27",30.5217831813576,23,11,41,5.95744680851064,4,2,8,0.240121580547112,0,0,0,0.0871327254305978,0,0,0,148.754812563323,90,43,191,0.0840932117527862,0,0,0
"2020-02-28",36.4818548387097,26,13,49,7.15423387096774,5,2,9,0.314516129032258,0,0,1,0.0917338709677419,0,0,0,178.475806451613,107,46.75,226.25,0.0997983870967742,0,0,0
"2020-02-29",43.877139979859,31,15,59,8.61530715005035,6,2,12,0.455186304128902,0,0,1,0.14098690835851,0,0,0,214.39778449144,120,55,266,0.119838872104733,0,0,0
"2020-03-01",52.7255297679112,36,18,70.5,10.2593340060545,6,3,13,0.592330978809284,0,0,1,0.147325933400605,0,0,0,258.90312815338,145,63,317.5,0.145307769929364,0,0,0
"2020-03-02",63.4580384226491,43,21,84,12.314459049545,8,4,15,0.754297269969666,0,0,1,0.160768452982811,0,0,0,312.115267947422,166,73,382,0.161779575328615,0,0,0
"2020-03-03",75.8531187122736,50,24,99,14.7686116700201,9,4,19,0.919517102615694,1,0,1,0.173038229376258,0,0,0,376.46277665996,197.5,83.25,453.75,0.209255533199195,0,0,0
