"time","hosp_occup_mean","hosp_occup_median","hosp_occup_q25","hosp_occup_q75","hosp_admit_mean","hosp_admit_median","hosp_admit_q25","hosp_admit_q75","icu_occup_mean","icu_occup_median","icu_occup_q25","icu_occup_q75","icu_admit_mean","icu_admit_median","icu_admit_q25","icu_admit_q75","new_infect_mean","new_infect_median","new_infect_q25","new_infect_q75","new_deaths_mean","new_deaths_median","new_deaths_q25","new_deaths_q75"
"2020-01-31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-02-01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.573,1,1,2,0,0,0,0
"2020-02-02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.881,4,2,5,0,0,0,0
"2020-02-03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.741,5,4,8,0,0,0,0
"2020-02-04",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.302,7,5,9,0,0,0,0
"2020-02-05",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.816,8,6,11,0,0,0,0
"2020-02-06",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.432,10,7,13,0,0,0,0
"2020-02-07",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.603,12,8,16,0,0,0,0
"2020-02-08",0.153,0,0,0,0.153,0,0,0,0,0,0,0,0,0,0,0,14.752,13,9,19,0,0,0,0
"2020-02-09",0.527,0,0,1,0.374,0,0,1,0,0,0,0,0,0,0,0,17.467,15.5,10,23,0,0,0,0
"2020-02-10",1.091,1,0,2,0.564,0,0,1,0,0,0,0,0,0,0,0,20.784,18,12,27,0,0,0,0
"2020-02-11",1.816,2,1,3,0.725,1,0,1,0.025,0,0,0,0.025,0,0,0,24.943,22,15,32,0,0,0,0
"2020-02-12",2.697,2,1,4,0.881,1,0,1,0.083,0,0,0,0.058,0,0,0,28.996,25,16,38,0,0,0,0
"2020-02-13",3.731,3,2,5,1.034,1,0,2,0.172,0,0,0,0.089,0,0,0,35.086,29,19,47,0,0,0,0
"2020-02-14",4.93,5,3,7,1.199,1,0,2,0.299,0,0,1,0.127,0,0,0,41.464,34,22,53,0,0,0,0
"2020-02-15",6.402,6,4,9,1.472,1,0,2,0.46,0,0,1,0.161,0,0,0,49.709,40,25,65.25,0,0,0,0
"2020-02-16",8.101,7,5,11,1.699,1,1,2,0.635,0,0,1,0.175,0,0,0,59.002,48,30,77,0,0,0,0
"2020-02-17",10.092,9,6,13,1.991,2,1,3,0.856,1,0,1,0.221,0,0,0,70.739,56,34,90,0,0,0,0
"2020-02-18",12.485,11,8,16,2.393,2,1,4,1.121,1,0,2,0.265,0,0,0,84.489,64.5,39,111,0,0,0,0
"2020-02-19",15.162,14,9,20,2.83,2,1,4,1.411,1,0,2,0.315,0,0,1,100.307,76,45,128.25,0,0,0,0
"2020-02-20",18.155,16,11,23,3.367,3,1,5,1.671,1,1,2,0.318,0,0,1,120.157,88,51,155,0,0,0,0
"2020-02-21",21.564,19,13,28,3.973,3,2,6,1.995,2,1,3,0.413,0,0,1,144.184,104,58,186,0,0,0,0
"2020-02-22",25.786,22,15,33,4.947,4,2,7,2.391,2,1,3,0.523,0,0,1,172.263,119.5,68,222,0,0,0,0
"2020-02-23",30.649,26,17,39,5.744,5,2,8,2.801,2,1,4,0.571,0,0,1,207.745,141,77,265.25,0.01,0,0,0
"2020-02-24",36.371,30,19,47,6.756,5,3,9,3.306,3,2,5,0.68,0,0,1,248.009,165.5,88.75,313.75,0.03,0,0,0
"2020-02-25",43.514,35,23,56,8.342,6,4,11,3.975,3,2,6,0.89,1,0,1,297.922,194,104,371.5,0.052,0,0,0
"2020-02-26",51.924,41,26,67,9.882,8,4,13,4.741,4,2,6,1.031,1,0,2,357.602,224,117,450.5,0.067,0,0,0
"2020-02-27",61.967,48,30,79.25,11.742,9,5,16,5.604,5,2,8,1.178,1,0,2,430.343,259.5,136.75,539.25,0.082,0,0,0
"2020-02-28",73.969,56,35,95,13.993,10,5,19,6.776,6,3,9,1.49,1,0,2,518.211,299,155,643,0.107,0,0,0
