"time","hosp_occup_mean","hosp_occup_median","hosp_occup_q25","hosp_occup_q75","hosp_admit_mean","hosp_admit_median","hosp_admit_q25","hosp_admit_q75","icu_occup_mean","icu_occup_median","icu_occup_q25","icu_occup_q75","icu_admit_mean","icu_admit_median","icu_admit_q25","icu_admit_q75","new_infect_mean","new_infect_median","new_infect_q25","new_infect_q75","new_deaths_mean","new_deaths_median","new_deaths_q25","new_deaths_q75"
"2020-01-31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-02-01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.578,4,2,5,0,0,0,0
"2020-02-02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.41,3,2,5,0,0,0,0
"2020-02-03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.688,3,2,5,0,0,0,0
"2020-02-04",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.156,4,3,6,0,0,0,0
"2020-02-05",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.801,4,3,6,0,0,0,0
"2020-02-06",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.77,5,4,8,0,0,0,0
"2020-02-07",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.666,6,4,9,0,0,0,0
"2020-02-08",0.327,0,0,1,0.327,0,0,1,0,0,0,0,0,0,0,0,7.981,7,5,10,0,0,0,0
"2020-02-09",0.656,0,0,1,0.329,0,0,1,0,0,0,0,0,0,0,0,9.357,8,6,12,0,0,0,0
"2020-02-10",0.99,1,0,2,0.334,0,0,1,0,0,0,0,0,0,0,0,11.216,10,7,14,0,0,0,0
"2020-02-11",1.369,1,0,2,0.379,0,0,1,0.053,0,0,0,0.053,0,0,0,13.21,12,8,17,0,0,0,0
"2020-02-12",1.812,2,1,3,0.443,0,0,1,0.096,0,0,0,0.043,0,0,0,15.829,14,9,21,0,0,0,0
"2020-02-13",2.328,2,1,3,0.516,0,0,1,0.148,0,0,0,0.052,0,0,0,18.908,16,11,25,0,0,0,0
"2020-02-14",3.022,3,2,4,0.694,0,0,1,0.208,0,0,0,0.06,0,0,0,22.095,19,13,28,0,0,0,0
"2020-02-15",3.781,3,2,5,0.759,0,0,1,0.28,0,0,0,0.072,0,0,0,26.32,22,15,34,0,0,0,0
"2020-02-16",4.673,4,3,6,0.892,1,0,1,0.352,0,0,1,0.072,0,0,0,31.372,26,17,41,0,0,0,0
"2020-02-17",5.737,5,3,7,1.064,1,0,2,0.474,0,0,1,0.122,0,0,0,36.947,31,19,47.25,0,0,0,0
"2020-02-18",6.975,6,4,9,1.238,1,0,2,0.593,0,0,1,0.119,0,0,0,44.776,36,23,58,0,0,0,0
"2020-02-19",8.129,7,5,11,1.481,1,0,2,0.668,0,0,1,0.128,0,0,0,53.05,43,25,67.25,0,0,0,0
"2020-02-20",9.58,9,6,13,1.78,1,1,3,0.789,1,0,1,0.164,0,0,0,63.269,50,30,80.25,0,0,0,0
"2020-02-21",11.374,10,7,15,2.128,2,1,3,0.943,1,0,2,0.206,0,0,0,75.873,58.5,34,99.25,0,0,0,0
"2020-02-22",13.493,12,8,18,2.498,2,1,3.25,1.145,1,0,2,0.262,0,0,0,90.178,68,40,115.25,0,0,0,0
"2020-02-23",16.024,14,9,21,2.974,2,1,4,1.35,1,0,2,0.277,0,0,0,108.563,79.5,47,139.25,0.023,0,0,0
"2020-02-24",18.992,17,11,25,3.484,3,1,5,1.646,1,0,3,0.368,0,0,1,130.053,95,52,165,0.035,0,0,0
"2020-02-25",22.473,19,13,30,4.175,3,2,6,1.89,2,1,3,0.366,0,0,1,154.23,109,59.75,195,0.032,0,0,0
"2020-02-26",26.585,22,14,35,4.871,4,2,7,2.263,2,1,3,0.492,0,0,1,186.158,127,70,233.25,0.038,0,0,0
"2020-02-27",31.702,26,17,41,6.009,5,2,8,2.747,2,1,4,0.612,0,0,1,223.908,149.5,79,282.25,0.032,0,0,0
"2020-02-28",37.788,31,20,49,7.15,5,3,10,3.282,3,1,5,0.699,0,0,1,269.06,176,93,336.25,0.053,0,0,0
"2020-02-29",45.067,36,22,59,8.517,6,3,11,3.843,3,2,5,0.767,0,0,1,323.194,208,105,394.5,0.064,0,0,0
"2020-03-01",53.991,43,26,69,10.405,8,4,14,4.497,4,2,6,0.916,1,0,1,388.129,243,120.75,480.5,0.08,0,0,0
"2020-03-02",64.683,50,30,84,12.472,9,5,16,5.396,4,2,7,1.176,1,0,2,468.6,280,142,589,0.089,0,0,0
"2020-03-03",77.313,58.5,35,100,14.758,10,5,19.25,6.379,5,3,9,1.351,1,0,2,562.985,330.5,160.75,688,0.107,0,0,0
"2020-03-04",92.538,69,39,119.25,17.723,12,6,23,7.721,6,3,10,1.708,1,0,2,678.774,384.5,184.75,826.5,0.107,0,0,0
"2020-03-05",110.607,80.5,45,143,21.043,14,7,27,9.242,7,4,12,2.013,1,0,3,820.532,448.5,214,994.75,0.136,0,0,0
"2020-03-06",132.653,95.5,51,168,25.53,17,8,33,10.974,8,4,14,2.344,2,1,3,987.084,534,244,1195.25,0.174,0,0,0
"2020-03-07",159.171,112,60.75,200.25,30.693,20,9,38,13.087,10,5,17,2.812,2,1,4,1191.537,625,284,1430,0.192,0,0,0
"2020-03-08",190.896,131,70,240.5,36.596,22,11,46,15.64,11,6,21,3.32,2,1,5,1440.345,734,324.75,1735,0.245,0,0,0
"2020-03-09",228.993,153,80,285.25,44.106,27,12.75,55,18.802,13,7,24,4.078,3,1,6,1736.503,849,377,2047,0.243,0,0,0
"2020-03-10",274.927,179.5,92.75,339.25,53.084,31,15,66.25,22.583,15,8,29,4.957,3,1,7,2099.268,987.5,434,2492,0.333,0,0,1
"2020-03-11",330.534,209.5,105,409.25,64.124,36,17,78,27.084,18,9,35,5.852,3,2,7,2534.683,1171,497.75,3028,0.359,0,0,1
"2020-03-12",397.544,243.5,121,491.5,77.415,43,20,95.25,32.333,21,11,42,6.957,4,2,9,3066.326,1370,576.25,3631.75,0.502,0,0,1
"2020-03-13",478.135,283.5,140,587.25,93.063,49,23,115,38.825,25,12,49,8.505,5,2,11,3708.164,1613,653.75,4353.75,0.575,0,0,1
"2020-03-14",576.243,333,162.75,711.5,112.866,61,27,140.25,46.697,28,14,59,10.216,6,2,13,4283.989,1782,728.75,5009.75,0.678,0,0,1
"2020-03-15",694.663,390,186.75,849.25,136.143,68,30.75,163,56.358,34,16,71.25,12.473,7,3,16,4889.189,1984,788.75,5575.75,0.794,0,0,1
"2020-03-16",838.221,458,212.75,1025.5,164.601,81,34,200,67.858,40,19,85,14.82,8,3,18,5619.277,2197.5,874,6364.25,1.01,1,0,1
"2020-03-17",1010.371,536.5,246,1223.75,197.68,95,41,236.5,81.833,47,22,101.25,18.053,9,4,22,6480.378,2476,954.25,7375,1.144,1,0,2
"2020-03-18",1218.696,619.5,282,1462.25,239.018,109,46.75,283.25,98.498,55,24,121,21.622,11,5,26,7474.955,2778,1053.75,8458.25,1.382,1,0,2
"2020-03-19",1470.234,732,325.75,1762.25,288.134,130.5,53,346.25,118.924,64,28.75,144.25,26.278,13,5,31,8617.56,3104,1169,9620,1.684,1,0,2
"2020-03-20",1774.267,860,375.5,2112,348.139,153,59,406.25,143.639,74.5,34,174,31.672,14.5,6,38,9933.309,3507.5,1282,10974.75,2.112,1,0,3
