"time","hosp_occup_mean","hosp_occup_median","hosp_occup_q25","hosp_occup_q75","hosp_admit_mean","hosp_admit_median","hosp_admit_q25","hosp_admit_q75","icu_occup_mean","icu_occup_median","icu_occup_q25","icu_occup_q75","icu_admit_mean","icu_admit_median","icu_admit_q25","icu_admit_q75","new_infect_mean","new_infect_median","new_infect_q25","new_infect_q75","new_deaths_mean","new_deaths_median","new_deaths_q25","new_deaths_q75"
"2020-01-31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-02-01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.704,1,1,3,0,0,0,0
"2020-02-02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.988,4,2,5,0,0,0,0
"2020-02-03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.839,5,4,8,0,0,0,0
"2020-02-04",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.391,7,4,10,0,0,0,0
"2020-02-05",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.126,8,6,12,0,0,0,0
"2020-02-06",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.829,10,7,14,0,0,0,0
"2020-02-07",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.817,11.5,8,17,0,0,0,0
"2020-02-08",0.164,0,0,0,0.164,0,0,0,0,0,0,0,0,0,0,0,15.278,14,9,20,0,0,0,0
"2020-02-09",0.566,0,0,1,0.402,0,0,1,0,0,0,0,0,0,0,0,18.163,16,11,23,0,0,0,0
"2020-02-10",1.168,1,0,2,0.602,0,0,1,0,0,0,0,0,0,0,0,21.367,19,13,27,0,0,0,0
"2020-02-11",1.902,2,1,3,0.734,0,0,1,0.036,0,0,0,0.036,0,0,0,25.209,22,14,33,0,0,0,0
"2020-02-12",2.761,2,1,4,0.859,1,0,1,0.1,0,0,0,0.064,0,0,0,30.352,26,17,39,0,0,0,0
"2020-02-13",3.778,3,2,5,1.017,1,0,2,0.198,0,0,0,0.098,0,0,0,36.231,31,19,47,0,0,0,0
"2020-02-14",5.022,5,3,7,1.244,1,0,2,0.317,0,0,1,0.119,0,0,0,43.161,36,23,56,0,0,0,0
"2020-02-15",6.626,6,4,9,1.604,1,1,2,0.469,0,0,1,0.152,0,0,0,51.101,42,25,67,0,0,0,0
"2020-02-16",8.42,8,5,11,1.794,2,1,3,0.623,0,0,1,0.154,0,0,0,61.094,49,29,80.25,0,0,0,0
"2020-02-17",10.478,9,6,14,2.058,2,1,3,0.814,1,0,1,0.191,0,0,0,72.782,55,35,94,0,0,0,0
"2020-02-18",12.899,11,8,17,2.421,2,1,3,1.081,1,0,2,0.267,0,0,0,87.034,66,40,112,0,0,0,0
"2020-02-19",15.655,14,9,20,2.92,2,1,4,1.403,1,0,2,0.358,0,0,1,103.865,76,45,134,0,0,0,0
"2020-02-20",18.805,16,11,25,3.552,3,1,5,1.691,1,0,3,0.352,0,0,1,123.905,88.5,53,161,0,0,0,0
"2020-02-21",22.454,19,13,29.25,4.251,3,2,6,2.007,2,1,3,0.414,0,0,1,148.479,103,59,194.25,0,0,0,0
"2020-02-22",26.815,22,15,35,5.095,4,2,7,2.41,2,1,4,0.522,0,0,1,178.365,124,69,233,0,0,0,0
"2020-02-23",31.937,26,17,42,5.981,4,2,8,2.893,2,1,4,0.635,0,0,1,213.912,140,79,280,0.023,0,0,0
"2020-02-24",38.115,32,20,50,7.195,5,3,10,3.492,3,1,5,0.753,0,0,1,256.596,164,92,331.25,0.037,0,0,0
"2020-02-25",45.353,37,22,59,8.482,6,3,11,4.198,3,2,6,0.897,1,0,1,308.885,198.5,107,399,0.055,0,0,0
"2020-02-26",54.008,43.5,26,70,10.259,8,4,14,4.97,4,2,7,1.039,1,0,2,371.184,227.5,122,465.75,0.062,0,0,0
"2020-02-27",64.149,50,30,84,11.935,9,5,15,5.89,5,3,8,1.278,1,0,2,444.549,265,139,560,0.092,0,0,0
"2020-02-28",76.539,58,34,99.25,14.448,10,5,18,7.055,5,3,10,1.517,1,0,2,536.489,309,157.25,677.5,0.104,0,0,0
"2020-02-29",91.531,68,40,121,17.413,12,6,23,8.442,6,4,11,1.801,1,0,3,645.422,368,182,796.5,0.108,0,0,0
"2020-03-01",109.359,80,47,142.25,20.748,13,7,27,10.008,8,4,13,2.088,1,0,3,777.662,423.5,209,958.25,0.147,0,0,0
"2020-03-02",130.705,91.5,53,170,24.898,16,9,32,11.87,9,5,15,2.497,2,1,3,938.944,491,244.5,1155.25,0.19,0,0,0
"2020-03-03",156.399,107,62,200.25,29.945,19,10,38,14.252,10,6,18,3.135,2,1,4,1132.16,574,275.75,1390.25,0.2,0,0,0
"2020-03-04",187.423,125.5,70.75,242.25,36.119,23,12,46,16.964,12,7,21,3.609,2,1,5,1366.158,677.5,321,1642,0.212,0,0,0
"2020-03-05",224.674,147.5,81,288.25,43.232,26,13,52.25,20.312,14,8,26,4.387,3,1,6,1650.36,778.5,369.75,1935.5,0.295,0,0,0
"2020-03-06",269.315,172,93.75,347.25,51.836,30,15,67,24.131,16,9,31,5.097,3,1,7,1992.008,912.5,418.75,2340.5,0.345,0,0,1
"2020-03-07",323.508,202,107.75,416,62.675,36,17,77,28.978,18.5,10,37,6.364,4,2,9,2404.507,1055.5,484.75,2784,0.372,0,0,1
"2020-03-08",388.042,235,124,497.25,74.793,41,19,93,34.762,22,12,44,7.585,4,2,9,2905.007,1215,556,3322,0.467,0,0,1
