"time","hosp_occup_mean","hosp_occup_median","hosp_occup_q25","hosp_occup_q75","hosp_admit_mean","hosp_admit_median","hosp_admit_q25","hosp_admit_q75","icu_occup_mean","icu_occup_median","icu_occup_q25","icu_occup_q75","icu_admit_mean","icu_admit_median","icu_admit_q25","icu_admit_q75","new_infect_mean","new_infect_median","new_infect_q25","new_infect_q75","new_deaths_mean","new_deaths_median","new_deaths_q25","new_deaths_q75"
"2020-01-31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-02-01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.652,1,1,2,0,0,0,0
"2020-02-02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.958,4,2,5,0,0,0,0
"2020-02-03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.821,5,4,8,0,0,0,0
"2020-02-04",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.472,7,5,10,0,0,0,0
"2020-02-05",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.884,8,5.75,11.25,0,0,0,0
"2020-02-06",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.637,10,7,14,0,0,0,0
"2020-02-07",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.669,12,8,16,0,0,0,0
"2020-02-08",0.168,0,0,0,0.168,0,0,0,0,0,0,0,0,0,0,0,14.971,14,9,19,0,0,0,0
"2020-02-09",0.576,0,0,1,0.408,0,0,1,0,0,0,0,0,0,0,0,17.733,16,11,23,0,0,0,0
"2020-02-10",1.132,1,0,2,0.556,0,0,1,0,0,0,0,0,0,0,0,21.12,18,12,28,0,0,0,0
"2020-02-11",1.85,2,1,3,0.718,0.5,0,1,0.027,0,0,0,0.027,0,0,0,24.95,22,14,32,0,0,0,0
"2020-02-12",2.686,2,1,4,0.836,1,0,1,0.11,0,0,0,0.083,0,0,0,29.371,25,16,38.25,0,0,0,0
"2020-02-13",3.71,3,2,5,1.024,1,0,2,0.2,0,0,0,0.09,0,0,0,35.336,30,19,46,0,0,0,0
"2020-02-14",4.977,5,3,7,1.267,1,0,2,0.338,0,0,1,0.138,0,0,0,41.97,35,22,54,0,0,0,0
"2020-02-15",6.499,6,4,8,1.522,1,0,2,0.488,0,0,1,0.15,0,0,0,50.182,41,25,64,0,0,0,0
"2020-02-16",8.232,8,5,11,1.733,1,1,3,0.663,0,0,1,0.175,0,0,0,59.659,48,30,76.25,0,0,0,0
"2020-02-17",10.311,9,6,13,2.079,2,1,3,0.882,1,0,1,0.219,0,0,0,71.616,57,34,93,0,0,0,0
"2020-02-18",12.693,11,8,16,2.382,2,1,3,1.139,1,0,2,0.257,0,0,0,85.645,67,40,111,0,0,0,0
"2020-02-19",15.403,14,9,20,2.878,2,1,4,1.443,1,0,2,0.331,0,0,1,101.833,76.5,45.75,130,0,0,0,0
"2020-02-20",18.431,16,11,24,3.436,3,1,5,1.718,1,1,3,0.358,0,0,1,122.073,92,52,155.25,0,0,0,0
"2020-02-21",21.868,19,13,28,3.993,3,2,5,2.048,2,1,3,0.42,0,0,1,146.246,106,60,188,0,0,0,0
"2020-02-22",26.01,22,15,33,4.86,4,2,7,2.402,2,1,3,0.492,0,0,1,175.336,124,67,225.25,0,0,0,0
"2020-02-23",30.865,26,17,39,5.691,4,2,8,2.837,2,1,4,0.585,0,0,1,210.807,144.5,80,263.25,0.012,0,0,0
"2020-02-24",36.821,31,20,47,6.98,5,3,9,3.36,3,1,5,0.698,0,0,1,252.827,174,88.75,326,0.035,0,0,0
"2020-02-25",43.984,36,22,56,8.43,6,3,11,4.037,3,2,6,0.896,1,0,1,304.811,200.5,104,380,0.05,0,0,0
"2020-02-26",52.434,42,26,66,9.972,7,4,13,4.724,4,2,6,0.944,1,0,1,365.824,234.5,122,463.25,0.065,0,0,0
"2020-02-27",62.535,49,30,79,11.834,9,5,15,5.632,5,2,8,1.239,1,0,2,441.273,280.5,138,555.25,0.079,0,0,0
"2020-02-28",74.484,57,34,94,14.028,10,5,19,6.808,5,3,9,1.534,1,0,2,531.008,327,160,658.25,0.097,0,0,0
"2020-02-29",89.037,67,39,115,16.935,12,6,23,8.117,7,3,11,1.729,1,0,3,637.731,380,183.75,793.25,0.132,0,0,0
"2020-03-01",106.655,79,45,138.25,20.496,15,7,26.25,9.708,8,4,13,2.083,1,0,3,770.405,442,209.5,949.25,0.149,0,0,0
