date,hospitalBedsRequired,hospitalBedCapacity,ICUBedsInUse,ICUBedCapacity,ventilatorsInUse,ventilatorCapacity,RtIndicator,RtIndicatorCI90,cumulativeDeaths,cumulativeInfected,currentInfected,currentSusceptible,currentExposed,cumulativePositiveTests,cumulativeNegativeTests,fips_char,fips
2020-03-03,0,82447,0,3231,0,7873,1.72,1.44,0,102,78,39512008,93,45,,06000,6000
2020-03-04,0,82447,0,3231,0,7873,1.79,1.17,0,146,104,39511933,124,53,462,06000,6000
2020-03-05,0,82447,0,3231,0,7873,1.72,1.08,0,205,138,39511833,165,53,462,06000,6000
2020-03-06,1,82447,0,3231,0,7873,1.72,1.04,0,283,183,39511701,219,60,462,06000,6000
2020-03-07,1,82447,0,3231,0,7873,1.83,0.91,0,386,243,39511525,291,69,462,06000,6000
2020-03-08,2,82447,0,3231,0,7873,1.79,0.89,0,524,323,39511291,387,88,462,06000,6000
2020-03-09,2,82447,0,3231,0,7873,1.86,0.8,0,707,430,39510981,514,114,690,06000,6000
2020-03-10,3,82447,1,3231,0,7873,1.91,0.73,0,950,571,39510570,683,133,690,06000,6000
2020-03-11,5,82447,1,3231,0,7873,1.93,0.67,0,1272,758,39510023,908,157,916,06000,6000
2020-03-12,7,82447,2,3231,1,7873,1.99,0.57,0,1701,1008,39509296,1206,202,916,06000,6000
2020-03-13,9,82447,2,3231,1,7873,1.97,0.53,0,2270,1338,39508331,1602,202,916,06000,6000
2020-03-14,12,82447,3,3231,2,7873,1.93,0.53,0,3025,1778,39507049,2128,252,916,06000,6000
2020-03-15,16,82447,4,3231,2,7873,1.94,0.46,0,4029,2361,39505347,2826,293,916,06000,6000
2020-03-16,21,82447,6,3231,3,7873,1.94,0.44,0,5362,3136,39503086,3754,335,7981,06000,6000
2020-03-17,29,82447,8,3231,5,7873,1.92,0.42,0,7133,4166,39500083,4986,483,7981,06000,6000
2020-03-18,38,82447,11,3231,6,7873,1.89,0.39,0,9485,5533,39496096,6622,611,7981,06000,6000
2020-03-19,51,82447,14,3231,9,7873,1.89,0.37,0,12607,7348,39490802,8793,924,8787,06000,6000
2020-03-20,68,82447,19,3231,12,7873,1.88,0.38,0,16752,9756,39483784,11667,1063,10424,06000,6000
2020-03-21,90,82447,26,3231,16,7873,1.86,0.38,0,22231,12932,39474657,15315,1279,11249,06000,6000
2020-03-22,120,82447,34,3231,21,7873,1.83,0.35,0,29328,16989,39463261,19614,1536,11304,06000,6000
2020-03-23,158,82447,45,3231,28,7873,1.8,0.3,0,38323,22017,39449250,24629,1733,12567,06000,6000
2020-03-24,207,82447,59,3231,36,7873,1.75,0.31,0,49509,28102,39432336,30357,2102,13452,06000,6000
2020-03-25,268,82447,77,3231,47,7873,1.72,0.28,0,63163,35300,39412322,36717,2355,15921,06000,6000
2020-03-26,342,82447,99,3231,60,7873,1.69,0.27,0,79514,43609,39389135,43553,3006,17380,06000,6000
2020-03-27,432,82447,125,3231,76,7873,1.65,0.27,0,98709,52958,39362870,50624,3879,17380,06000,6000
