model_team,pointNA,target_end_date
NotreDame.mobility,4749.96007696008,2020-06-11
NotreDame.mobility,4782.98963998964,2020-06-12
NotreDame.mobility,4815.50841750842,2020-06-13
Covid19Sim.Simulator,5100.1919036513,2020-06-14
NotreDame.mobility,4847.38317238317,2020-06-14
PSI.DRAFT,5154,2020-06-15
SWC.TerminusCM,5138,2020-06-15
USACE.ERDC_SEIR,4651.78058083116,2020-06-15
Covid19Sim.Simulator,5163.2516720179,2020-06-15
CovidActNow.SEIR_CAN,5362.86866410762,2020-06-15
Geneva.DetGrowth,5225.82857159212,2020-06-15
IowaStateLW.STEM,5328,2020-06-15
JHU_IDD.CovidSP,5199.91,2020-06-15
OliverWyman.Navigator,5130.11002586341,2020-06-15
UA.EpiCovDA,5171,2020-06-15
UCLA.SuEIR,5160.19628204429,2020-06-15
NotreDame.mobility,4878.63351463352,2020-06-15
Auquan.SEIR,5631,2020-06-16
MIT_CovidAnalytics.DELPHI,5287,2020-06-16
MOBS_NEU.GLEAM_COVID,5253.58568911863,2020-06-16
PSI.DRAFT,5209,2020-06-16
SWC.TerminusCM,5185,2020-06-16
USACE.ERDC_SEIR,4747.63934615444,2020-06-16
UT.Mobility,5216,2020-06-16
Covid19Sim.Simulator,5226.18869540188,2020-06-16
CovidActNow.SEIR_CAN,5493.11479972667,2020-06-16
Geneva.DetGrowth,5302.11996576507,2020-06-16
IowaStateLW.STEM,5413,2020-06-16
JHU_IDD.CovidSP,5320.52333333333,2020-06-16
OliverWyman.Navigator,5200.38138246041,2020-06-16
UA.EpiCovDA,5244,2020-06-16
UCLA.SuEIR,5220.64163402554,2020-06-16
NotreDame.mobility,4909.28175528176,2020-06-16
Auquan.SEIR,5885,2020-06-17
MIT_CovidAnalytics.DELPHI,5380,2020-06-17
MOBS_NEU.GLEAM_COVID,5311.83777764354,2020-06-17
PSI.DRAFT,5266,2020-06-17
SWC.TerminusCM,5240,2020-06-17
USACE.ERDC_SEIR,4843.97774618833,2020-06-17
UT.Mobility,5280,2020-06-17
Covid19Sim.Simulator,5289.08204196694,2020-06-17
CovidActNow.SEIR_CAN,5625.78428420527,2020-06-17
Geneva.DetGrowth,5379.34422104414,2020-06-17
IowaStateLW.STEM,5494,2020-06-17
JHU_IDD.CovidSP,5443.46333333333,2020-06-17
OliverWyman.Navigator,5301.59298003814,2020-06-17
UA.EpiCovDA,5318,2020-06-17
UCLA.SuEIR,5280.3232641115,2020-06-17
NotreDame.mobility,4939.33177933178,2020-06-17
Auquan.SEIR,6131,2020-06-18
MIT_CovidAnalytics.DELPHI,5473,2020-06-18
MOBS_NEU.GLEAM_COVID,5369.70369227792,2020-06-18
PSI.DRAFT,5322.5,2020-06-18
SWC.TerminusCM,5299,2020-06-18
USACE.ERDC_SEIR,4940.79562914086,2020-06-18
UT.Mobility,5343,2020-06-18
Covid19Sim.Simulator,5351.87332958622,2020-06-18
CovidActNow.SEIR_CAN,5760.98578397479,2020-06-18
Geneva.DetGrowth,5457.51259650743,2020-06-18
IowaStateLW.STEM,5571,2020-06-18
JHU_IDD.CovidSP,5568.49333333333,2020-06-18
OliverWyman.Navigator,5384.79965452388,2020-06-18
UA.EpiCovDA,5391,2020-06-18
UCLA.SuEIR,5339.23343781015,2020-06-18
NotreDame.mobility,4968.79272579273,2020-06-18
CU.nochange,5455,2020-06-19
CU.scenario_high,5458,2020-06-19
